Start performance test

Loop: 60 			 Variation: 2 			 Cycles: 61000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.956415 ms
Loop: 61 			 Variation: 0 			 Cycles: 62000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.508095 ms
Loop: 61 			 Variation: 1 			 Cycles: 62000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.990367 ms
Loop: 61 			 Variation: 2 			 Cycles: 62000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.972016 ms
Loop: 62 			 Variation: 0 			 Cycles: 63000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.530697 ms
Loop: 62 			 Variation: 1 			 Cycles: 63000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.010123 ms
Loop: 62 			 Variation: 2 			 Cycles: 63000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.993012 ms
Loop: 63 			 Variation: 0 			 Cycles: 64000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.555033 ms
Loop: 63 			 Variation: 1 			 Cycles: 64000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.013546 ms
Loop: 63 			 Variation: 2 			 Cycles: 64000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.996070 ms
Loop: 64 			 Variation: 0 			 Cycles: 65000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.581943 ms
Loop: 64 			 Variation: 1 			 Cycles: 65000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.028462 ms
Loop: 64 			 Variation: 2 			 Cycles: 65000 			 Cache: 1 			  MethodCache: 1 			 Duration: 1.030880 ms
Loop: 65 			 Variation: 0 			 Cycles: 66000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.601009 ms
Loop: 65 			 Variation: 1 			 Cycles: 66000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.030640 ms
Loop: 65 			 Variation: 2 			 Cycles: 66000 			 Cache: 1 			  MethodCache: 1 			 Duration: 1.036036 ms
Loop: 66 			 Variation: 0 			 Cycles: 67000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.658332 ms
Loop: 66 			 Variation: 1 			 Cycles: 67000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.054322 ms
Loop: 66 			 Variation: 2 			 Cycles: 67000 			 Cache: 1 			  MethodCache: 1 			 Duration: 1.052860 ms
Loop: 67 			 Variation: 0 			 Cycles: 68000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.670443 ms
Loop: 67 			 Variation: 1 			 Cycles: 68000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.634108 ms
Loop: 67 			 Variation: 2 			 Cycles: 68000 			 Cache: 1 			  MethodCache: 1 			 Duration: 1.744652 ms
Loop: 68 			 Variation: 0 			 Cycles: 69000 			 Cache: 0 			  MethodCache: 0 			 Duration: 2.306614 ms
Loop: 68 			 Variation: 1 			 Cycles: 69000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.286820 ms
Loop: 68 			 Variation: 2 			 Cycles: 69000 			 Cache: 1 			  MethodCache: 1 			 Duration: 1.298243 ms
Loop: 69 			 Variation: 0 			 Cycles: 70000 			 Cache: 0 			  MethodCache: 0 			 Duration: 2.189220 ms
Loop: 69 			 Variation: 1 			 Cycles: 70000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.334098 ms
Loop: 69 			 Variation: 2 			 Cycles: 70000 			 Cache: 1 			  MethodCache: 1 			 Duration: 1.290249 ms
Loop: 70 			 Variation: 0 			 Cycles: 71000 			 Cache: 0 			  MethodCache: 0 			 Duration: 2.328945 ms
Loop: 70 			 Variation: 1 			 Cycles: 71000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.381403 ms
Loop: 70 			 Variation: 2 			 Cycles: 71000 			 Cache: 1 			  MethodCache: 1 			 Duration: 1.296014 ms
Loop: 71 			 Variation: 0 			 Cycles: 72000 			 Cache: 0 			  MethodCache: 0 			 Duration: 2.177384 ms
Loop: 71 			 Variation: 1 			 Cycles: 72000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.382894 ms
Loop: 71 			 Variation: 2 			 Cycles: 72000 			 Cache: 1 			  MethodCache: 1 			 Duration: 1.334012 ms
Loop: 72 			 Variation: 0 			 Cycles: 73000 			 Cache: 0 			  MethodCache: 0 			 Duration: 2.283279 ms
Loop: 72 			 Variation: 1 			 Cycles: 73000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.370125 ms
Loop: 72 			 Variation: 2 			 Cycles: 73000 			 Cache: 1 			  MethodCache: 1 			 Duration: 1.321300 ms
Loop: 73 			 Variation: 0 			 Cycles: 74000 			 Cache: 0 			  MethodCache: 0 			 Duration: 2.111800 ms
Loop: 73 			 Variation: 1 			 Cycles: 74000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.448535 ms
Loop: 73 			 Variation: 2 			 Cycles: 74000 			 Cache: 1 			  MethodCache: 1 			 Duration: 1.368950 ms
Loop: 74 			 Variation: 0 			 Cycles: 75000 			 Cache: 0 			  MethodCache: 0 			 Duration: 2.293564 ms
Loop: 74 			 Variation: 1 			 Cycles: 75000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.374491 ms
Loop: 74 			 Variation: 2 			 Cycles: 75000 			 Cache: 1 			  MethodCache: 1 			 Duration: 1.356038 ms
